z,src,dest,satellite,probability,energy_eV
62,8,3,0,0.5,6205.228443244934
62,7,2,0,0.06,6317.955342313774
62,6,2,0,0.05,6196.266145235999
62,13,3,0,0.05,7178.167911413569
62,11,2,0,0.01,7466.947762827909
62,12,2,0,0.01,7486.922629277584
62,5,4,0,0.02,4994.730187048292
62,5,3,0,0.01,5589.304468096316
62,16,9,0,1.0,1072.4348017740656
62,15,8,0,0.45,1100.1258867178326
62,14,7,0,0.01,1291.5019524281222
62,12,9,0,0.01,829.8807726445765
63,9,4,0,1.0,5845.829008114467
63,8,4,0,0.1,5816.757561956356
63,8,3,0,0.5,6456.500933869693
63,7,2,0,0.06,6571.483936667181
63,6,2,0,0.05,6439.064525219409
63,13,3,0,0.05,7480.643624538417
63,11,2,0,0.01,7767.946083146402
63,12,2,0,0.01,7796.276641709093
63,5,4,0,0.02,5177.225130829284
63,5,3,0,0.01,5816.757561956356
63,16,9,0,1.0,1123.3504342946428
63,15,8,0,0.45,1153.3412784474392
63,14,7,0,0.01,1346.0448098262916
63,12,9,0,0.01,871.9000522721499
64,9,4,0,1.0,6057.464697728146
64,8,4,0,0.1,6025.08443158226
64,8,3,0,0.5,6713.46044147172
64,7,2,0,0.06,6831.084707057837
64,6,2,0,0.05,6687.388750436878
64,13,3,0,0.05,7785.995191729447
64,11,2,0,0.01,8087.155921538043
64,12,2,0,0.01,8105.130903647755
64,5,4,0,0.02,5362.174008870328
64,5,3,0,0.01,6049.779810339598
64,16,9,0,1.0,1177.7732253547995
64,15,8,0,0.45,1209.1299730163812
64,14,7,0,0.01,1401.9017122693322
64,12,9,0,0.02,913.6638720198947
65,9,4,0,1.0,6272.9161362559935
65,8,4,0,0.1,6238.198109841495
65,8,3,0,0.5,6977.948414739966
65,7,2,0,0.06,7096.16457378089
65,6,2,0,0.05,6940.449363697924
65,13,3,0,0.05,8101.953044050168
65,11,2,0,0.01,8397.736889264408
65,12,2,0,0.01,8423.983383143071
65,5,4,0,0.02,5546.894570199523
65,5,3,0,0.01,6284.043965184983
65,16,9,0,1.0,1245.69664857932
65,15,8,0,0.45,1266.178384733453
65,14,7,0,0.01,1461.0439245003502
65,12,9,0,0.05,957.7026682612368
66,9,4,0,1.0,6495.36556457163
66,8,4,0,0.1,6457.81247210024
66,8,3,0,0.5,7247.909379821334
66,7,2,0,0.06,7370.3594954880355
66,6,2,0,0.05,7204.0689257653685
66,13,3,0,0.05,8419.063968132476
66,11,2,0,0.01,8714.220570509828
66,12,2,0,0.01,8753.472707787329
66,5,4,0,0.02,5743.279155866522
66,5,3,0,0.01,6534.322079502259
66,16,9,0,1.0,1300.4424945783483
66,15,8,0,0.45,1325.042080080151
66,14,7,0,0.01,1522.3991580685133
66,12,9,0,0.05,1001.8924237018158
67,9,4,0,1.0,6720.010158975594
67,8,4,0,0.1,6679.82260832389
67,8,3,0,0.5,7525.595595332305
67,7,2,0,0.06,7651.927879596354
67,6,2,0,0.05,7471.177308412155
67,13,3,0,0.05,8747.296982721866
67,11,2,0,0.01,9051.26204067015
67,12,2,0,0.01,9087.751039588045
67,5,4,0,0.02,5943.633146361444
67,5,3,0,0.01,6788.446530502612
67,16,9,0,1.0,1355.9075616043276
67,15,8,0,0.45,1382.9803394656967
67,14,7,0,0.01,1576.4041631671928
67,12,9,0,0.05,1045.3978704308577
68,9,4,0,1.0,6948.812522522052
68,8,4,0,0.1,6905.27359694234
68,8,3,0,0.5,7811.011619296902
68,7,2,0,0.06,7939.5611829597665
68,6,2,0,0.05,7745.623004504262
68,13,3,0,0.05,9089.083456718694
68,11,2,0,0.01,9385.631145579087
68,12,2,0,0.01,9431.32416195799
68,5,4,0,0.02,6153.061411071945
68,5,3,0,0.01,7058.191246333811
68,16,9,0,1.0,1411.9597703348104
68,15,8,0,0.45,1443.0189412604714
68,14,7,0,0.01,1643.0451554876718
68,12,9,0,0.05,1090.4501973007891
69,9,4,0,1.0,7179.996955819998
69,8,4,0,0.1,7133.317267884456
69,8,3,0,0.5,8101.423643041017
69,7,2,0,0.06,8231.042118641686
69,6,2,0,0.05,8025.905452686415
69,13,3,0,0.05,9426.304830312456
69,11,2,0,0.01,9730.35531573534
69,12,2,0,0.01,9779.475266848061
69,5,4,0,0.02,6341.902170491034
69,5,3,0,0.01,7309.095527506911
69,16,9,0,1.0,1468.8329277704029
69,15,8,0,0.45,1507.40653414103
69,14,7,0,0.01,1706.5958352801063
69,12,9,0,0.05,1136.1146104013535
70,9,4,0,1.0,7415.8100971415415
70,8,4,0,0.1,7367.5126976914
70,8,3,0,0.5,8402.005044089026
70,7,2,0,0.06,8536.915675714177
70,6,2,0,0.05,8313.38675810992
70,13,3,0,0.05,9780.323851501527
70,11,2,0,0.01,10089.941115495709
70,12,2,0,0.01,10143.349322035123
70,5,4,0,0.02,6545.637221608622
70,5,3,0,0.01,7580.348950421847
70,16,9,0,1.0,1521.4650562412533
70,15,8,0,0.45,1567.6341817309358
70,14,7,0,0.01,1765.1507322480027
70,12,9,0,0.02,1183.0552235982798
71,9,4,0,1.0,7655.660504294491
71,8,4,0,0.1,7605.038823344296
71,8,3,0,0.5,8709.262318019915
71,14,4,0,0.01,9049.148062439765
71,7,2,0,0.06,8847.166221856694
71,6,2,0,0.05,8606.665979417707
71,13,4,0,0.2,9040.042831432718
71,13,3,0,0.05,10143.681270502644
71,11,2,0,0.01,10460.152487395573
71,12,2,0,0.01,10511.321240926449
71,5,4,0,0.02,6752.951385245082
71,5,3,0,0.01,7857.54404164394
71,16,9,0,1.0,1581.4309621568843
71,15,8,0,0.45,1631.1562614537524
71,14,7,0,0.01,1831.917663018613
71,12,9,0,0.01,1230.9788267781942
72,9,4,0,1.0,7899.19516259762
72,8,4,0,0.1,7844.816536520995
72,8,3,0,0.5,9022.937736198217
72,14,4,0,0.2,9347.491117476739
72,7,2,0,0.06,9163.650216784901
72,6,2,0,0.04,8905.630472137604
72,13,4,0,0.01,9337.353986059941
72,13,3,0,0.1,10516.046431984709
72,11,2,0,0.01,10833.801177286286
72,12,2,0,0.02,10890.995988536619
72,5,4,0,0.03,6959.73434186195
72,5,3,0,0.01,8139.4510049630535
